Department,Division,Change,Change to,Reason or comment
Civil/Environmental Engineering,Viterbi School of Engineering,TRUE,Civil and Environmental Engineering,"duplicates, so merging"
Dornsife/Viterbi Machine Shop,Viterbi School of Engineering,TRUE,Other,
Communication Data Science,Viterbi School of Engineering,TRUE,Computer Science,
Applied Data Science,Viterbi School of Engineering,TRUE,Computer Science,
Titus Family Department of Clinical Pharmacy,Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,FALSE,,
Pharmacology and Pharmaceutical Sciences,Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,FALSE,,
Other,Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,FALSE,,
Pharmaceutical and Health Economics,Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,FALSE,,
Regulatory and Quality Sciences,Alfred E. Mann School of Pharmacy and Pharmaceutical Sciences,FALSE,,
Other,Annenberg School for Communication and Journalism,FALSE,Other,
Neuroscience,Dornsife College of Letters Arts and Sciences,FALSE,,
Physics and Astronomy,Dornsife College of Letters Arts and Sciences,FALSE,,
Biological Sciences,Dornsife College of Letters Arts and Sciences,FALSE,,
Quantitative and Computational Biology,Dornsife College of Letters Arts and Sciences,FALSE,,
Chemistry,Dornsife College of Letters Arts and Sciences,FALSE,,
Mathematics,Dornsife College of Letters Arts and Sciences,FALSE,,
Anthropology,Dornsife College of Letters Arts and Sciences,FALSE,,
Economics,Dornsife College of Letters Arts and Sciences,FALSE,,
Political Science,Dornsife College of Letters Arts and Sciences,FALSE,,
International Relations,Dornsife College of Letters Arts and Sciences,FALSE,,
Political Science and International Relations,Dornsife College of Letters Arts and Sciences,FALSE,,
Psychology,Dornsife College of Letters Arts and Sciences,FALSE,,
Sociology,Dornsife College of Letters Arts and Sciences,FALSE,,
Gender and Sexuality Studies,Dornsife College of Letters Arts and Sciences,FALSE,,
Linguistics,Dornsife College of Letters Arts and Sciences,FALSE,,
Earth Sciences,Dornsife College of Letters Arts and Sciences,FALSE,,
Comparative Literature,Dornsife College of Letters Arts and Sciences,FALSE,,
Philosophy,Dornsife College of Letters Arts and Sciences,FALSE,,
American Studies and Ethnicity,Dornsife College of Letters Arts and Sciences,FALSE,,
Classics,Dornsife College of Letters Arts and Sciences,FALSE,,
English,Dornsife College of Letters Arts and Sciences,FALSE,,
Environmental Studies Program,Dornsife College of Letters Arts and Sciences,FALSE,,
History,Dornsife College of Letters Arts and Sciences,FALSE,,
Writing Program,Dornsife College of Letters Arts and Sciences,FALSE,,
Other,Dornsife College of Letters Arts and Sciences,FALSE,,
Religion,Dornsife College of Letters Arts and Sciences,FALSE,,
Molecular Biology,Dornsife College of Letters Arts and Sciences,FALSE,,
Middle East Studies,Dornsife College of Letters Arts and Sciences,FALSE,,
Art History,Dornsife College of Letters Arts and Sciences,FALSE,,
Slavic Languages and Literatures,Dornsife College of Letters Arts and Sciences,FALSE,,
Operations and Finance,Dornsife College of Letters Arts and Sciences,FALSE,,
French and Italian,Dornsife College of Letters Arts and Sciences,FALSE,,
East Asian Languages and Cultures,Dornsife College of Letters Arts and Sciences,FALSE,,
Postbaccalaureate Premedical Program,Dornsife College of Letters Arts and Sciences,FALSE,,
Thematic Option Program,Dornsife College of Letters Arts and Sciences,FALSE,,
