Div,Dept,Sustainability-Inclusive Author Count,SDG-Related Author Count,Not-Related Author Count,Sustainability-Focused Author Count,Division Name Correction,Department Name Correction,Dept Classification,True Department? Only right dept (wrong name not included),Notes,Need Help,Notes
Dornsife College of Letters Arts and Sciences,Dornsife/Viterbi Machine Shop,0,1,0,0,,Other,Academic and Administrative,no,https://viterbischool.usc.edu/research/research-resources-and-programs/shared-research-infrastructure/viterbi-dornsife-machine-shop/,,
Dornsife College of Letters Arts and Sciences,East Asian Languages and Cultures,4,4,4,0,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,East Asian Studies Center,0,1,1,0,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,English,2,4,14,0,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,French and Italian,3,3,3,0,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Gender and Sexuality Studies,6,1,2,0,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Institute for Economic Policy Research,1,1,1,0,,Economics,Academic,no,,,
Dornsife College of Letters Arts and Sciences,Joint Educational Project,1,0,0,0,,,Academic and Administrative,no,https://dornsife.usc.edu/joint-educational-project/,,
Dornsife College of Letters Arts and Sciences,Latin American and Iberian Cultures,2,1,8,0,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Latinx and Latin American Studies Center,0,0,1,0,,,Academic,no,https://dornsife.usc.edu/latinx/,,
Dornsife College of Letters Arts and Sciences,Linguistics,5,12,36,0,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,"Max Kade Institute for Austrian, Swiss and German Studies",0,1,1,0,,,Academic,no,https://dornsife.usc.edu/max-kade/,,
Dornsife College of Letters Arts and Sciences,Middle East Studies,0,2,1,0,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Mind and Society Center,4,5,6,0,,,Academic,no,https://dornsife.usc.edu/mindandsociety/,,
Dornsife College of Letters Arts and Sciences,Philip K. Wrigley Marine Science Center,2,0,0,0,,,Academic,no,https://dornsife.usc.edu/wrigley/research/wrigley-marine-science-center-wmsc/,,
Dornsife College of Letters Arts and Sciences,Philosophy,3,7,36,0,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Postbaccalaureate Premedical Program,1,1,0,0,,Other,Academic,no,https://dornsife.usc.edu/postbaccalaureate-premedical-program/,,
Dornsife College of Letters Arts and Sciences,Religion,3,5,7,0,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Science and Technology Studies,2,1,0,0,,"Center on Science, Technology and the Public Life",Academic,no,https://dornsife.usc.edu/stpl/,,
Dornsife College of Letters Arts and Sciences,Slavic Languages and Literatures,1,2,7,0,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Space Science Center,0,0,1,0,,Physics and Astronomy,Academic,no,,,
Dornsife College of Letters Arts and Sciences,Thematic Option Program,0,2,2,0,,Other,Academic and Administrative,no,https://dornsife.usc.edu/thematic-option/,,
Dornsife College of Letters Arts and Sciences,Translational Imaging Center,5,11,18,0,,Biological Sciences,Academic,no,,,
Dornsife College of Letters Arts and Sciences,Visual Studies Research Institute,0,0,1,0,,,Academic,no,"Professor of Art History, History, and Critical Studies",,
Dornsife College of Letters Arts and Sciences,Writing Program,0,0,6,0,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,American Studies and Ethnicity,11,13,8,1,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Brain and Creativity Institute,33,51,34,1,,,Academic,no,https://dornsife.usc.edu/bci/,,
Dornsife College of Letters Arts and Sciences,Bridge Institute,16,55,37,1,,,Academic,no,https://dornsife.usc.edu/bridge-institute/,,
Dornsife College of Letters Arts and Sciences,"Center on Science, Technology and the Public Life",0,1,1,1,,,Academic,no,https://dornsife.usc.edu/stpl/,,
Dornsife College of Letters Arts and Sciences,Core Center of Excellence in Nano Imaging (CNI),1,13,16,1,,,Academic,no,https://cni.usc.edu/,,
Dornsife College of Letters Arts and Sciences,History,8,8,14,1,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Humanities in a Digital World,0,1,1,1,,,Academic,no,https://dornsife.usc.edu/digitalhumanities/,,
Dornsife College of Letters Arts and Sciences,Huntington-USC Institute on California and the West,1,1,0,1,,,Academic,no,https://dornsife.usc.edu/icw/,,
Dornsife College of Letters Arts and Sciences,Korean Studies Institute,0,1,0,1,,,Academic,no,https://dornsife.usc.edu/ksi/,,
Dornsife College of Letters Arts and Sciences,Molecular Biology,0,0,0,1,,Biological Sciences,Academic,no,,,
Dornsife College of Letters Arts and Sciences,Other,20,16,6,1,,,Academic and Administrative,no,,,
Dornsife College of Letters Arts and Sciences,Public Exchange,1,0,0,1,,,Administrative,no,https://publicexchange.usc.edu/,,
Dornsife College of Letters Arts and Sciences,Sea Grant Program,0,0,0,1,,,Academic,no,https://dornsife.usc.edu/uscseagrant/,,
Dornsife College of Letters Arts and Sciences,Society of Fellows in the Humanities,0,0,4,1,,,Academic,no,https://sofh.usc.edu/,,
Dornsife College of Letters Arts and Sciences,Equity Research Institute (formerly PERE/CSII),4,3,1,2,,,Academic,no,https://dornsife.usc.edu/eri/research/immigrant-inclusion-and-racial-justice-research/,,
Dornsife College of Letters Arts and Sciences,International Relations,12,14,11,2,,Political Science and International Relations,Academic,no,,,
Dornsife College of Letters Arts and Sciences,Mathematics,8,33,108,2,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Sociology,46,24,18,2,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Political Science,23,30,18,3,,Political Science and International Relations,Academic,no,,,
Dornsife College of Letters Arts and Sciences,Political Science and International Relations,20,25,15,3,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Southern California Earthquake Center,1,12,14,3,,,Academic and Administrative,no,http://scecinfo.usc.edu/index.shtml,,
Dornsife College of Letters Arts and Sciences,Neuroscience,57,121,84,5,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Anthropology,8,10,13,6,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Center for Economic and Social Research,71,71,36,7,,,Academic,no,https://dornsife.usc.edu/cesr/,,
Dornsife College of Letters Arts and Sciences,Environmental Studies Program,6,3,3,8,,Environmental Studies,Academic,no,,,
Dornsife College of Letters Arts and Sciences,Economics,54,59,54,10,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Quantitative and Computational Biology,29,79,92,10,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Psychology,164,220,150,11,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Wrigley Institute for Environmental Studies,5,11,15,11,,Environmental Studies,Academic,no,https://dornsife.usc.edu/wrigley/,,
Dornsife College of Letters Arts and Sciences,Loker Hydrocarbon Research Institute,14,51,75,26,,Chemistry,Academic,no,https://dornsife.usc.edu/loker-hydrocarbon-research-institute/,,
Dornsife College of Letters Arts and Sciences,Physics and Astronomy,11,102,234,33,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Spatial Sciences Institute,45,36,21,37,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Chemistry,45,283,420,42,,,Academic,yes,,,
Dornsife College of Letters Arts and Sciences,Earth Sciences,106,104,78,61,,,Academic,yes,,,
