"one_sustainability_category","Year","n"
"Not Related",2020,13
"Not Related",2021,11
"Not Related",2022,10
"Sustainability-Focused",2020,90
"Sustainability-Focused",2021,88
"Sustainability-Focused",2022,105
"Sustainability-Inclusive",2020,116
"Sustainability-Inclusive",2021,121
"Sustainability-Inclusive",2022,114
