"one_sustainability_category","Year","n"
"Not Related",2020,18
"Not Related",2021,18
"Not Related",2022,19
"Not Related",2023,28
"SDG-Related",2020,45
"SDG-Related",2021,50
"SDG-Related",2022,50
"SDG-Related",2023,33
"Sustainability-Focused",2020,73
"Sustainability-Focused",2021,76
"Sustainability-Focused",2022,92
"Sustainability-Focused",2023,81
"Sustainability-Inclusive",2020,106
"Sustainability-Inclusive",2021,123
"Sustainability-Inclusive",2022,109
"Sustainability-Inclusive",2023,108
