"one_sustainability_category","Year","n"
"Not Related",2020,1610
"Not Related",2021,1711
"Not Related",2022,1575
"Sustainability-Focused",2020,299
"Sustainability-Focused",2021,330
"Sustainability-Focused",2022,323
"Sustainability-Inclusive",2020,5712
"Sustainability-Inclusive",2021,6617
"Sustainability-Inclusive",2022,6521
